,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
17350,Temora,A,REROC,Rest of NSW, -   , -   , -   ,, 215 , 215 ,,, -   , -   , -   ,, 3 , 3 , -   ,, 218 , 218 , -   
17400,Tenterfield,A,NIRW,Rest of NSW, 134 , 128 , 6 ,, 226 , 226 ,,, 379 , 379 , -   ,, -   , -   , -   ,, 739 , 733 , 6 
17420,The Hills Shire,A,WSROC,SMA," 12,413 "," 11,292 "," 1,121 ",," 1,198 "," 1,198 ",,, -   , -   , -   ,, 206 , -   , 206 ,," 13,817 "," 12,490 "," 1,327 "
17550,Tweed,A,NEWF,RRA," 9,621 "," 9,044 ", 577 ,," 2,821 "," 2,821 ",,, -   , -   , -   ,, -   , -   , -   ,," 12,442 "," 11,865 ", 577 
17620,Upper Hunter Shire,A,Hunter,RRA, 725 , 694 , 30 ,, 301 , 301 ,,, -   , -   , -   ,, -   , -   , -   ,," 1,026 ", 996 , 30 
17640,Upper Lachlan Shire,A,CRJO,Rest of NSW, 338 , 289 , 50 ,, 65 , 65 ,,, -   , -   , -   ,, -   , -   , -   ,, 403 , 353 , 50 
17650,Uralla,A,NIRW,Rest of NSW, 500 , 450 , 50 ,, -   , -   ,,, 783 , 782 , 1 ,, -   , -   , -   ,," 1,283 "," 1,232 ", 51 
17750,Wagga Wagga,C,REROC,Rest of NSW," 5,071 "," 4,463 ", 609 ,," 1,350 "," 1,350 ",,, 172 , 171 , 1 ,, -   , -   , -   ,," 6,593 "," 5,984 ", 610 
17850,Walcha,A,NIRW,Rest of NSW, 154 , 120 , 34 ,, 48 , 48 ,,, 107 , 106 , 1 ,, -   , -   , -   ,, 309 , 275 , 35 
17900,Walgett,A,NetWaste,Rest of NSW, -   , -   , -   ,, 134 , 134 ,,, -   , -   , -   ,, -   , -   , -   ,, 134 , 134 , -   
17950,Warren,A,NetWaste,Rest of NSW, -   , -   , -   ,, 49 , 49 ,,, 11 , -   , 11 ,, -   , -   , -   ,, 60 , 49 , 11 
18020,Warrumbungle Shire,A,NetWaste,Rest of NSW," 1,400 "," 1,260 ", 140 ,, 197 , 197 ,,, -   , -   , -   ,, -   , -   , -   ,," 1,597 "," 1,457 ", 140 
18050,Waverley,A,SSROC,SMA," 5,423 "," 5,422 ", 1 ,, 445 , 445 ,,, 29 , 29 , -   ,, 64 , 64 , -   ,," 5,961 "," 5,960 ", 1 
18100,Weddin,A,NetWaste,Rest of NSW, 130 , 124 , 5 ,, 40 , 40 ,,, 192 , 190 , 2 ,, -   , -   , -   ,, 362 , 354 , 7 
18200,Wentworth,A,RAMJO Murray,Rest of NSW, -   , -   , -   ,, -   , -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
18230,Dubbo Regional,A,NetWaste,Rest of NSW," 3,740 "," 3,483 ", 257 ,," 1,414 "," 1,414 ",,, 14 , 14 , -   ,, 121 , 121 , -   ,," 5,289 "," 5,032 ", 257 
18250,Willoughby,C,NSROC,SMA," 7,293 "," 6,342 ", 951 ,, 405 , 405 ,,, -   , -   , -   ,, 33 , 25 , 9 ,," 7,731 "," 6,772 ", 960 
18350,Wingecarribee,A,ISJO,ERA," 4,543 "," 3,924 ", 619 ,, 559 , 559 ,,, 149 , 130 , 19 ,, 26 , 24 , 2 ,," 5,276 "," 4,637 ", 640 
18400,Wollondilly,A,MACROC,RRA," 4,020 "," 3,764 ", 256 ,, 512 , 512 ,,," 1,137 "," 1,137 ", -   ,, 469 , 469 , -   ,," 6,138 "," 5,882 ", 256 
18450,Wollongong,C,ISJO,ERA," 16,294 "," 15,176 "," 1,118 ",," 3,732 "," 3,732 ",,, -   , -   , -   ,, 686 , 686 , -   ,," 20,712 "," 19,594 "," 1,118 "
18500,Woollahra,A,SSROC,SMA," 5,962 "," 5,556 ", 405 ,, 6 , 6 ,,, -   , -   , -   ,, -   , -   , -   ,," 5,967 "," 5,562 ", 405 
18710,Yass Valley,A,CRJO,Rest of NSW, 850 , 815 , 35 ,, 299 , 299 ,,, 843 , 841 , 2 ,, -   , -   , -   ,," 1,992 "," 1,955 ", 37 
