,,,,,Total Domestic Organics Generation (tonnes),,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Organics Bin,,,,Kerbside FOGO Organics,,,,Drop off Organics,,,,Cleanup Organics,,,,Other Council Garden Organics,,,,Total Domestic Organics,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
15350,Mosman,A,NSROC,SMA," 1,436 "," 1,436 ", -   ,,, -   ,,, 92 , 92 , -   ,, -   , -   , -   ,, 200.4 , 200.0 , -   ,," 1,728 "," 1,728 ", -   
15520,Murray River,A,RAMJO Murray,Rest of NSW," 1,000 "," 1,000 ", -   ,,, -   ,,, 450 , 450 , -   ,, -   , -   , -   ,,,,,," 1,450 "," 1,450 ", -   
15560,Murrumbidgee,A,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
15650,Muswellbrook,A,Hunter,RRA," 1,515 "," 1,440 ", 75 ,,, -   ,,, 130 , 124 , 7 ,, 39 , 39 , -   ,, 54.4 , 54.0 , -   ,," 1,739 "," 1,657 ", 82 
15700,Nambucca,A,MidWaste,RRA,, -   ,,," 2,708 "," 2,708 ", -   ,, 209 , 209 , -   ,, -   , -   , -   ,,,,,," 2,917 "," 2,917 ", -   
15750,Narrabri,A,NIRW,Rest of NSW,, -   ,,, 652 , 649 , 3 ,, -   , -   , -   ,, -   , -   , -   ,, 106.0 , -   , 106.0 ,, 758 , 649 , 109 
15800,Narrandera,A,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
15850,Narromine,A,NetWaste,Rest of NSW, -   , -   , -   ,, 577 , 577 , -   ,, -   , -   , -   ,, -   , -   , -   ,,,,,, 577 , 577 , -   
15900,Newcastle,C,Hunter,ERA," 13,418 "," 13,284 ", 134 ,,, -   ,,," 1,459 "," 1,310 ", 149 ,, -   , -   , -   ,, 520.0 , 520.0 , -   ,," 15,397 "," 15,114 ", 283 
15950,North Sydney,A,NSROC,SMA," 1,693 "," 1,693 ", -   ,,, -   ,,, -   , -   , -   ,," 1,917 "," 1,858 ", 59 ,, 362.2 , 362.0 , -   ,," 3,972 "," 3,913 ", 59 
15990,Northern Beaches,A,,SMA," 24,963 "," 24,463 ", 500 ,,, -   ,,," 30,635 "," 30,635 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 55,598 "," 55,098 ", 500 
16100,Oberon,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 160 , 160 , -   ,, 2 , 2 , -   ,, 47.0 , 47.0 , -   ,, 209 , 209 , -   
16150,Orange,C,NetWaste,Rest of NSW,, -   ,,," 4,590 "," 4,580 ", 10 ,," 4,854 "," 4,854 ", -   ,, -   , -   , -   ,, 92.0 , 91.0 , -   ,," 9,537 "," 9,525 ", 10 
16200,Parkes,A,NetWaste,Rest of NSW,, -   ,,," 1,288 "," 1,288 ", -   ,," 2,172 "," 2,172 ", -   ,, -   , -   , -   ,, 690.9 , 690.0 , -   ,," 4,151 "," 4,150 ", -   
16260,Parramatta,C,WSROC,SMA," 14,387 "," 14,387 ", -   ,,, -   ,,, -   , -   , -   ,," 1,726 "," 1,726 ", -   ,, 226.0 , 226.0 , -   ,," 16,339 "," 16,339 ", -   
16350,Penrith,C,WSROC,SMA,, -   ,,," 30,987 "," 29,537 "," 1,450 ",, 1 ,-4 , 5 ,, 210 , -   , 210 ,, -   , -   , -   ,," 31,198 "," 29,533 "," 1,665 "
16380,Port Macquarie-Hastings,A,MidWaste,RRA,, -   ,,," 15,672 "," 14,398 "," 1,274 ",," 2,800 "," 2,800 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 18,472 "," 17,197 "," 1,274 "
16400,Port Stephens,A,Hunter,ERA,, -   ,,,, -   ,,," 3,242 "," 3,242 ", -   ,, 26 , 26 , -   ,, -   , -   , -   ,," 3,268 "," 3,268 ", -   
16490,Queanbeyan-Palerang Regional,A,CRJO,Rest of NSW," 2,490 "," 2,393 ", 97 ,, 522 , 507 , 15 ,," 4,331 "," 4,331 ", -   ,, -   , -   , -   ,,,,,," 7,343 "," 7,231 ", 112 
16550,Randwick,C,SSROC,SMA," 6,781 "," 6,646 ", 136 ,,, -   ,,, 100 , 100 , -   ,, -   , -   , -   ,, -   , -   , -   ,," 6,881 "," 6,746 ", 136 
16610,Richmond Valley,A,NEWF,RRA,, -   ,,," 2,828 "," 2,828 ", -   ,, 206 , 206 , -   ,, -   , -   , -   ,, 84.1 , 84.0 , -   ,," 3,118 "," 3,118 ", -   
16700,Ryde,C,NSROC,SMA," 8,926 "," 8,792 ", 134 ,,, -   ,,, -   , -   , -   ,, 102 , 102 , -   ,, -   , -   , -   ,," 9,028 "," 8,894 ", 134 
16900,Shellharbour,C,ISJO,ERA,, -   ,,," 11,845 "," 11,704 ", 141 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 11,845 "," 11,704 ", 141 
16950,Shoalhaven,C,ISJO,ERA,, -   ,,,, -   ,,," 6,003 "," 6,003 ", -   ,," 3,861 "," 3,861 ", -   ,, -   , -   , -   ,," 9,864 "," 9,864 ", -   
17000,Singleton,A,Hunter,RRA," 1,551 "," 1,551 ", -   ,,, -   ,,, 250 , 250 , -   ,, -   , -   , -   ,, 20.3 , 20.0 , -   ,," 1,821 "," 1,821 ", -   
17040,Snowy Monaro Regional,A,CRJO,Rest of NSW,, -   ,,, 452 , 452 , -   ,, 575 , 575 , -   ,, -   , -   , -   ,,,,,," 1,027 "," 1,027 ", -   
17080,Snowy Valleys,A,REROC,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
17100,Strathfield,A,,SMA," 2,221 "," 2,221 ", -   ,,, -   ,,, 3 , 3 , -   ,, -   , -   , -   ,, 414.0 , 414.0 , -   ,," 2,638 "," 2,638 ", -   
17150,Sutherland Shire,A,SSROC,SMA," 30,687 "," 30,687 ", -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 30,687 "," 30,687 ", -   
17200,Sydney,C,SSROC,SMA," 1,211 "," 1,177 ", 34 ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 1,211 "," 1,177 ", 34 
17310,Tamworth Regional,A,NIRW,Rest of NSW," 3,028 "," 2,932 ", 96 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,028 "," 2,932 ", 96 
17350,Temora,A,REROC,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, 15 , -   , 15 ,,,,,, 15 , -   , 15 
17400,Tenterfield,A,NIRW,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
17420,The Hills Shire,A,WSROC,SMA," 14,435 "," 14,139 ", 296 ,,, -   ,,, -   , -   , -   ,, 280 , 280 , -   ,, -   , -   , -   ,," 14,715 "," 14,419 ", 296 
17550,Tweed,A,NEWF,RRA, -   , -   , -   ,," 12,258 "," 12,013 ", 245 ,, -   , -   , -   ,, -   , -   , -   ,," 10,000.0 "," 10,000.0 ", -   ,," 22,258 "," 22,013 ", 245 
17620,Upper Hunter Shire,A,Hunter,RRA,, -   ,,,, -   ,,, -   , -   , -   ,, 7 , 7 , -   ,, -   , -   , -   ,, 7 , 7 , -   
17640,Upper Lachlan Shire,A,CRJO,Rest of NSW, 150 , 150 , -   ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, 150 , 150 , -   
17650,Uralla,A,NIRW,Rest of NSW, 150 , 135 , 15 ,,, -   ,,, 770 , 770 , -   ,, -   , -   , -   ,,,,,, 920 , 905 , 15 
17750,Wagga Wagga,C,REROC,Rest of NSW,, -   ,,," 10,108 "," 10,108 ", -   ,, 851 , 851 , -   ,, -   , -   , -   ,, 625.0 , -   , 625.0 ,," 11,584 "," 10,959 ", 625 
17850,Walcha,A,NIRW,Rest of NSW, 70 , -   , 70 ,,, -   ,,," 5,390 "," 5,390 ", -   ,, -   , -   , -   ,,,,,," 5,460 "," 5,390 ", 70 
17900,Walgett,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
17950,Warren,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 400 , -   , 400 ,, -   , -   , -   ,,,,,, 400 , -   , 400 
18020,Warrumbungle Shire,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
18050,Waverley,A,SSROC,SMA," 2,182 "," 2,181 ", 1 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 2,182 "," 2,181 ", 1 
18100,Weddin,A,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 411 , 1 , 410 ,, -   , -   , -   ,,,,,, 411 , 1 , 410 
18200,Wentworth,A,RAMJO Murray,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   
18230,Dubbo Regional,A,NetWaste,Rest of NSW,, -   ,,," 5,478 "," 5,344 ", 134 ,, 278 , 278 , -   ,, 32 , 32 , -   ,, -   , -   , -   ,," 5,788 "," 5,654 ", 134 
18250,Willoughby,C,NSROC,SMA," 6,388 "," 6,388 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,, 53.0 , -   , 53.0 ,," 6,441 "," 6,388 ", 53 
18350,Wingecarribee,A,ISJO,ERA," 5,061 "," 5,035 ", 26 ,,, -   ,,," 2,929 "," 2,929 ", -   ,, -   , -   , -   ,,,,,," 7,990 "," 7,963 ", 26 
18400,Wollondilly,A,MACROC,RRA," 4,264 "," 4,264 ", -   ,,, -   ,,," 1,457 "," 1,457 ", -   ,, -   , -   , -   ,,,,,," 5,721 "," 5,721 ", -   
18450,Wollongong,C,ISJO,ERA," 22,759 "," 22,586 ", 173 ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,,,,,," 22,759 "," 22,586 ", 173 
18500,Woollahra,A,SSROC,SMA,, -   ,,," 3,855 "," 3,855 ", -   ,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,855 "," 3,855 ", -   
18710,Yass Valley,A,CRJO,Rest of NSW,, -   ,,,, -   ,,, 150 , 150 , -   ,, -   , -   , -   ,,,,,, 150 , 150 , -   
